benchmark,solver,status,cpu time,wallclock time,memory usage,result,exprs-details,syntax-error,adheres,smt-result,exprs-total-size,correct,,,
General-Track/array_sum_2_5.sl,stoch-2015-06-23-00-02,complete,10.1615,10.2158,193500,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_15.sl,CVC4-1.5-syguscomp2015-v4,complete,0.014997,0.0167321,0,correct,(findSum 109),-,1,sat,109,1,,,
General-Track/array_sum_3_15.sl,Enumerative Solver,timeout (cpu),3600.04,3598.31,5274956,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_15.sl,sketch-ac-tmp,timeout (wallclock),14322.6,3600.05,36300000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_15.sl,Sosy Toast,timeout (wallclock),3582.01,3600.02,1680084,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_15.sl,Sosy Toast Variant 2,timeout (wallclock),3581.6,3600.02,1703172,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_15.sl,stoch-2015-06-23-00-02,timeout (wallclock),3598.69,3600.01,225244,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_15.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.04,3541.23,34900000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_5.sl,CVC4-1.5-syguscomp2015-v4,complete,0.014997,0.016502,0,correct,(findSum 77),-,1,sat,77,1,,,
General-Track/array_sum_3_5.sl,sketch-ac-tmp,complete,693.826,364.901,35400000,correct,(findSum 30),-,1,sat,30,1,,,
General-Track/array_sum_3_5.sl,Enumerative Solver,timeout (cpu),3600.1,3598.61,4624968,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_5.sl,Sosy Toast,timeout (wallclock),3591.18,3600.02,1687620,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_5.sl,Sosy Toast Variant 2,timeout (wallclock),3583.21,3600.02,1704212,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_5.sl,stoch-2015-06-23-00-02,timeout (wallclock),3599.69,3600.01,254940,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_3_5.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.04,3534.13,34800000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_15.sl,CVC4-1.5-syguscomp2015-v4,complete,0.022995,0.0229121,106088,correct,(findSum 189),-,1,sat,189,1,,,
General-Track/array_sum_4_15.sl,Enumerative Solver,timeout (cpu),3600.03,3599.01,3847184,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_15.sl,sketch-ac-tmp,timeout (wallclock),14290.7,3600.08,37300000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_15.sl,Sosy Toast,timeout (wallclock),3586.21,3600.02,2089180,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_15.sl,Sosy Toast Variant 2,timeout (wallclock),3585.91,3600.02,2038748,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_15.sl,stoch-2015-06-23-00-02,timeout (wallclock),3599.19,3600.01,227292,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_15.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.04,3532.2,34900000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_5.sl,CVC4-1.5-syguscomp2015-v4,complete,0.021996,0.022547,0,correct,(findSum 173),-,1,sat,173,1,,,
General-Track/array_sum_4_5.sl,Enumerative Solver,timeout (cpu),3600.07,3598.61,8004332,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_5.sl,sketch-ac-tmp,timeout (wallclock),7112.18,3600.14,36200000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_5.sl,Sosy Toast,timeout (wallclock),3586.3,3600.02,1709328,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_5.sl,Sosy Toast Variant 2,timeout (wallclock),3586.54,3600.02,1718792,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_5.sl,stoch-2015-06-23-00-02,timeout (wallclock),3599.11,3600.01,266204,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_4_5.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.01,3532.33,35000000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_5_15.sl,CVC4-1.5-syguscomp2015-v4,complete,0.036993,0.0354751,0,correct,(findSum 833),-,1,sat,833,1,,,
General-Track/array_sum_5_15.sl,Enumerative Solver,timeout (cpu),3600.03,3599.28,15000000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_5_15.sl,sketch-ac-tmp,timeout (wallclock),14309.6,3600.11,37100000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_5_15.sl,Sosy Toast,timeout (wallclock),3598.59,3600.02,1281560,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_5_15.sl,Sosy Toast Variant 2,timeout (wallclock),3589.25,3600.02,1362980,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_5_15.sl,stoch-2015-06-23-00-02,timeout (wallclock),3599.37,3600.02,219100,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_5_15.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.09,3533.34,34900000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_6_15.sl,CVC4-1.5-syguscomp2015-v4,complete,0.100983,0.0917119,106088,correct,(findSum 3249),-,1,sat,3249,1,,,
General-Track/array_sum_6_15.sl,Enumerative Solver,timeout (cpu),3600.04,3598.51,1968120,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_6_15.sl,sketch-ac-tmp,timeout (wallclock),14308.8,3600.09,37100000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_6_15.sl,Sosy Toast,timeout (wallclock),3592.15,3600.04,1321576,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_6_15.sl,Sosy Toast Variant 2,timeout (wallclock),3591.43,3600.02,1689344,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_6_15.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.06,3600.01,248796,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
